actor,movie,movie_year,role_sentence,role_size
Adam Sandler,Going Overboard,1989,"In Going Overboard, Adam Sandler had a large role.",large
Adam Sandler,Shakes the Clown,1991,"In Shakes the Clown, Adam Sandler had a small role.",small
Adam Sandler,Coneheads,1993,"In Coneheads, Adam Sandler had a small role.",small
Adam Sandler,Airheads,1994,"In Airheads, Adam Sandler had a large role.",large
Adam Sandler,Mixed Nuts,1994,"In Mixed Nuts, Adam Sandler had a small role.",small
Adam Sandler,Billy Madison,1995,"In Billy Madison, Adam Sandler had a large role.",large
Adam Sandler,Bulletproof,1996,"In Bulletproof, Adam Sandler had a large role.",large
Adam Sandler,Happy Gilmore,1996,"In Happy Gilmore, Adam Sandler had a large role.",large
Adam Sandler,Dirty Work,1998,"In Dirty Work, Adam Sandler had a small role.",small
Adam Sandler,The Waterboy,1998,"In The Waterboy, Adam Sandler had a large role.",large
Adam Sandler,The Wedding Singer,1998,"In The Wedding Singer, Adam Sandler had a large role.",large
Adam Sandler,Big Daddy,1999,"In Big Daddy, Adam Sandler had a large role.",large
Adam Sandler,Deuce Bigalow: Male Gigolo,1999,"In Deuce Bigalow: Male Gigolo, Adam Sandler had a small role.",small
Adam Sandler,Little Nicky,2000,"In Little Nicky, Adam Sandler had a large role.",large
Adam Sandler,Joe Dirt,2001,"In Joe Dirt, Adam Sandler had a small role.",small
Adam Sandler,The Animal,2001,"In The Animal, Adam Sandler had a small role.",small
Adam Sandler,The Concert for New York City,2001,"In The Concert for New York City, Adam Sandler had a small role.",small
Adam Sandler,A Day with the Meatball,2002,"In A Day with the Meatball, Adam Sandler had a large role.",large
Adam Sandler,Eight Crazy Nights,2002,"In Eight Crazy Nights, Adam Sandler had a large role.",large
Adam Sandler,Mr. Deeds,2002,"In Mr. Deeds, Adam Sandler had a large role.",large
Adam Sandler,Punch-Drunk Love,2002,"In Punch-Drunk Love, Adam Sandler had a large role.",large
Adam Sandler,The Hot Chick,2002,"In The Hot Chick, Adam Sandler had a small role.",small
