actor,movie,movie_year
Adam Sandler,Going Overboard,1989
Adam Sandler,Shakes the Clown,1991
Adam Sandler,Coneheads,1993
Adam Sandler,Airheads,1994
Adam Sandler,Mixed Nuts,1994
Adam Sandler,Billy Madison,1995
Adam Sandler,Bulletproof,1996
Adam Sandler,Happy Gilmore,1996
Adam Sandler,Dirty Work,1998
Adam Sandler,The Waterboy,1998
Adam Sandler,The Wedding Singer,1998
Adam Sandler,Big Daddy,1999
Adam Sandler,Deuce Bigalow: Male Gigolo,1999
Adam Sandler,Little Nicky,2000
Adam Sandler,Joe Dirt,2001
Adam Sandler,The Animal,2001
Adam Sandler,The Concert for New York City,2001
Adam Sandler,A Day with the Meatball,2002
Adam Sandler,Eight Crazy Nights,2002
Adam Sandler,Mr. Deeds,2002
Adam Sandler,Punch-Drunk Love,2002
Adam Sandler,The Hot Chick,2002
Adam Sandler,The Master of Disguise,2002
Adam Sandler,Anger Management,2003
Adam Sandler,Couch,2003
Adam Sandler,Dickie Roberts: Former Child Star,2003
Adam Sandler,Pauly Shore Is Dead,2003
Adam Sandler,Stupidity,2003
Adam Sandler,50 First Dates,2004
Adam Sandler,Spanglish,2004
Adam Sandler,Deuce Bigalow: European Gigolo,2005
Adam Sandler,The Longest Yard,2005
Adam Sandler,Click,2006
Adam Sandler,The Benchwarmers,2006
Adam Sandler,I Now Pronounce You Chuck & Larry,2007
Adam Sandler,Reign Over Me,2007
Adam Sandler,Bedtime Stories,2008
Adam Sandler,Strange Wilderness,2008
Adam Sandler,The House Bunny,2008
Adam Sandler,Funny People,2009
Adam Sandler,Paul Blart: Mall Cop,2009
Adam Sandler,The Shortcut,2009
Adam Sandler,Grown Ups,2010
Adam Sandler,Bucky Larson: Born to Be a Star,2011
Adam Sandler,Jack and Jill,2011
Adam Sandler,Just Go with It,2011
Adam Sandler,Zookeeper,2011
Adam Sandler,Here Comes the Boom,2012
Adam Sandler,Hotel Transylvania,2012
Adam Sandler,Grown Ups 2,2013
Adam Sandler,Blended,2014
Adam Sandler,"Men, Women & Children",2014
Adam Sandler,The Cobbler,2014
Adam Sandler,Top Five,2014
Adam Sandler,Hotel Transylvania 2,2015
Adam Sandler,I Am Chris Farley,2015
Adam Sandler,Joe Dirt 2: Beautiful Loser,2015
Adam Sandler,Paul Blart: Mall Cop 2,2015
Adam Sandler,Pixels,2015
Adam Sandler,The Ridiculous 6,2015
Adam Sandler,The Do-Over,2016
Adam Sandler,Puppy!,2017
Adam Sandler,Sandy Wexler,2017
Adam Sandler,The Meyerowitz Stories (New and Selected),2017
Adam Sandler,Hotel Transylvania 3: Summer Vacation,2018
Adam Sandler,The Week Of,2018
Adam Sandler,Murder Mystery,2019
Adam Sandler,Uncut Gems,2019
Adam Sandler,Goldman v Silverman,2020
Adam Sandler,Hubie Halloween,2020
Adam Sandler,Nature Planet,2020
Adam Sandler,The Wrong Missy,2020
Adam Sandler,Home Team,2022
Adam Sandler,Hustle,2022
Adam Sandler,Norm Macdonald: Nothing Special,2022
Adam Sandler,Leo,2023
Adam Sandler,Murder Mystery 2,2023
Adam Sandler,The Out-Laws,2023
Adam Sandler,You Are So Not Invited to My Bat Mitzvah,2023
Adam Sandler,Spaceman,2024
Adam Sandler,Being Eddie,2025
Adam Sandler,Happy Gilmore 2,2025
Adam Sandler,Jay Kelly,2025
Adam Sandler,Kinda Pregnant,2025
Adam Sandler,Roommates,2025
Adam Sandler,Stans,2025
Al Pacino,"Me, Natalie",1969
Al Pacino,The Panic in Needle Park,1971
Al Pacino,The Godfather,1972
Al Pacino,Scarecrow,1973
Al Pacino,The Godfather Part II,1974
Al Pacino,Dog Day Afternoon,1975
Al Pacino,Bobby Deerfield,1977
Al Pacino,...And Justice for All]],1979
Al Pacino,Cruising,1980
Al Pacino,Author! Author!,1982
Al Pacino,Scarface,1983
Al Pacino,Revolution,1985
Al Pacino,Sea of Love,1989
Al Pacino,Dick Tracy,1990
Al Pacino,The Godfather Part III,1990
Al Pacino,The Local Stigmatic,1990
Al Pacino,Frankie and Johnny,1991
Al Pacino,Madonna: Truth or Dare,1991
Al Pacino,Glengarry Glen Ross,1992
Al Pacino,Scent of a Woman,1992
Al Pacino,Carlito's Way,1993
Al Pacino,Heat,1995
Al Pacino,Two Bits,1995
Al Pacino,City Hall,1996
Al Pacino,Looking for Richard,1996
Al Pacino,Donnie Brasco,1997
Al Pacino,Pitch,1997
Al Pacino,Satan,1997
Al Pacino,Any Given Sunday,1999
Al Pacino,Chinese Coffee,2000
Al Pacino,America: A Tribute to Heroes,2001
Al Pacino,Insomnia,2002
Al Pacino,Two for the Money,2005
Al Pacino,88 Minutes,2007
Al Pacino,Brando,2007
Al Pacino,Righteous Kill,2008
Al Pacino,I Knew It Was You,2009
Al Pacino,The Son of No One,2011
Al Pacino,Wilde Salomé,2011
Al Pacino,Casting By,2012
Al Pacino,Stand Up Guys,2012
Al Pacino,Salomé,2013
Al Pacino,Manglehorn,2014
Al Pacino,Danny Collins,2015
Al Pacino,Misconduct,2016
Al Pacino,Frank Serpico,2017
Al Pacino,Julian Schnabel: A Private Portrait,2017
Al Pacino,Gigli,2018
Al Pacino,Hangman,2018
Al Pacino,Jack and Jill,2018
Al Pacino,Ocean's Thirteen,2018
Al Pacino,People I Know,2018
Al Pacino,Serpico,2018
Al Pacino,Simone,2018
Al Pacino,Once Upon a Time in Hollywood,2019
Al Pacino,The Irishman,2019
Al Pacino,American Traitor: The Trial of Axis Sally,2021
Al Pacino,House of Gucci,2021
Al Pacino,Knox Goes Away,2023
Al Pacino,"Modì, Three Days on the Wing of Madness",2024
Al Pacino,Billy Knight,2025
Al Pacino,Dead Man's Wire,2025
Al Pacino,Easy's Waltz,2025
Al Pacino,Father Joe,2025
Al Pacino,In the Hand of Dante,2025
Al Pacino,Killing Castro,2025
Al Pacino,Lear Rex,2025
Al Pacino,Maserati: The Brothers,2025
Amy Adams,Drop Dead Gorgeous,1999
Amy Adams,Psycho Beach Party,2000
Amy Adams,The Chromium Hook,2000
Amy Adams,The Slaughter Rule,2002
Amy Adams,The Last Run]],2004
Amy Adams,The Wedding Date,2005
Amy Adams,Pennies,2006
Amy Adams,Talladega Nights: The Ballad of Ricky Bobby,2006
Amy Adams,Enchanted,2007
Amy Adams,Underdog,2007
Amy Adams,Doubt,2008
Amy Adams,Miss Pettigrew Lives for a Day,2008
Amy Adams,Sunshine Cleaning,2008
Amy Adams,Julie & Julia,2009
Amy Adams,Night at the Museum: Battle of the Smithsonian,2009
Amy Adams,Leap Year,2010
Amy Adams,Junebug,2011
Amy Adams,The Muppets]],2011
Amy Adams,On the Road,2012
Amy Adams,The Master]],2012
Amy Adams,Trouble with the Curve,2012
Amy Adams,American Hustle,2013
Amy Adams,Her,2013
Amy Adams,Man of Steel,2013
Amy Adams,Big Eyes,2014
Amy Adams,Lullaby,2014
Amy Adams,Muppets Most Wanted,2014
Amy Adams,Catch Me If You Can,2015
Amy Adams,Charlie Wilson's War,2015
Amy Adams,Cruel Intentions 2,2015
Amy Adams,Love & Distrust,2015
Amy Adams,Moonlight Serenade,2015
Amy Adams,Pumpkin,2015
Amy Adams,Serving Sara,2015
Amy Adams,Standing Still,2015
Amy Adams,Stephen Tobolowsky's Birthday Party,2015
Amy Adams,Tenacious D in The Pick of Destiny,2015
Amy Adams,The Ex]],2015
Amy Adams,The Fighter,2015
Amy Adams,Arrival,2016
Amy Adams,Batman v Superman: Dawn of Justice,2016
Amy Adams,Nocturnal Animals,2016
Amy Adams,Justice League,2017
Amy Adams,Vice,2018
Amy Adams,Hillbilly Elegy,2020
Amy Adams,Dear Evan Hansen,2021
Amy Adams,The Woman in the Window]],2021
Amy Adams,Disenchanted,2022
Amy Adams,Sam & Kate,2022
Amy Adams,Nightbitch,2024
Amy Adams,At the Sea,2026
Amy Adams,Klara and the Sun,2026
Amy Adams,Star Wars: Starfighter,2027
Angelina Jolie,Alice & Viril,1993
Angelina Jolie,Angela & Viril,1993
Angelina Jolie,Cyborg 2,1993
Angelina Jolie,Hackers,1995
Angelina Jolie,Foxfire,1996
Angelina Jolie,Love Is All There Is,1996
Angelina Jolie,Mojave Moon,1996
Angelina Jolie,Without Evidence,1996
Angelina Jolie,Playing God,1997
Angelina Jolie,Playing by Heart,1998
Angelina Jolie,"Girl, Interrupted",1999
Angelina Jolie,Pushing Tin,1999
Angelina Jolie,Gone in 60 Seconds,2000
Angelina Jolie,Lara Croft: Tomb Raider,2001
Angelina Jolie,Original Sin,2001
Angelina Jolie,Life or Something Like It,2002
Angelina Jolie,Beyond Borders,2003
Angelina Jolie,Lara Croft: Tomb Raider – The Cradle of Life,2003
Angelina Jolie,Alexander,2004
Angelina Jolie,Shark Tale,2004
Angelina Jolie,Sky Captain and the World of Tomorrow,2004
Angelina Jolie,Taking Lives,2004
Angelina Jolie,The Fever,2004
Angelina Jolie,Confessions of an Action Star,2005
Angelina Jolie,Mr. & Mrs. Smith,2005
Angelina Jolie,A Mighty Heart (film),2007
Angelina Jolie,Beowulf,2007
Angelina Jolie,Changeling,2008
Angelina Jolie,Kung Fu Panda,2008
Angelina Jolie,Wanted,2008
Angelina Jolie,Salt,2010
Angelina Jolie,The Tourist,2010
Angelina Jolie,Kung Fu Panda 2,2011
Angelina Jolie,Kung Fu Panda: Secrets of the Masters,2011
Angelina Jolie,Maleficent,2014
Angelina Jolie,By the Sea,2015
Angelina Jolie,Kung Fu Panda 3,2016
Angelina Jolie,Maleficent: Mistress of Evil,2019
Angelina Jolie,Come Away,2020
Angelina Jolie,The One and Only Ivan,2020
Angelina Jolie,Eternals,2021
Angelina Jolie,Those Who Wish Me Dead,2021
Angelina Jolie,Maria,2024
Angelina Jolie,Couture,2025
Anne Hathaway,The Princess Diaries,2001
Anne Hathaway,Nicholas Nickleby,2002
Anne Hathaway,The Cat Returns,2003
Anne Hathaway,Ella Enchanted,2004
Anne Hathaway,The Princess Diaries 2: Royal Engagement,2004
Anne Hathaway,Hoodwinked!,2005
Anne Hathaway,The Devil Wears Prada,2006
Anne Hathaway,A Place in Time,2007
Anne Hathaway,Becoming Jane,2007
Anne Hathaway,Get Smart,2008
Anne Hathaway,Get Smart's Bruce and Lloyd: Out of Control,2008
Anne Hathaway,Rachel Getting Married,2008
Anne Hathaway,Bride Wars,2009
Anne Hathaway,PoliWood,2009
Anne Hathaway,Alice in Wonderland,2010
Anne Hathaway,Love & Other Drugs,2010
Anne Hathaway,Valentine's Day,2010
Anne Hathaway,One Day,2011
Anne Hathaway,Rio,2011
Anne Hathaway,Les Misérables,2012
Anne Hathaway,The Dark Knight Rises,2012
Anne Hathaway,Girl Rising,2013
Anne Hathaway,Rio 2,2014
Anne Hathaway,Song One,2014
Anne Hathaway,The Intern,2015
Anne Hathaway,Alice Through the Looking Glass,2016
Anne Hathaway,Colossal,2016
Anne Hathaway,10 Mountains 10 Years,2017
Anne Hathaway,Brokeback Mountain,2017
Anne Hathaway,Don Jon,2017
Anne Hathaway,Don Peyote,2017
Anne Hathaway,Havoc,2017
Anne Hathaway,Interstellar,2017
Anne Hathaway,Passengers,2017
Anne Hathaway,The Other Side of Heaven,2017
Anne Hathaway,Valentino: The Last Emperor,2017
Anne Hathaway,Dark Waters,2018
Anne Hathaway,Ocean's 8,2018
Anne Hathaway,The Hustle,2018
Anne Hathaway,Serenity,2019
Anne Hathaway,The Last Thing He Wanted,2020
Anne Hathaway,The Witches,2020
Anne Hathaway,Locked Down,2021
Anne Hathaway,Armageddon Time,2022
Anne Hathaway,Eileen,2023
Anne Hathaway,Flowervale Street,2023
Anne Hathaway,She Came to Me,2023
Anne Hathaway,Verity,2023
Anne Hathaway,"Celine Jennings | Also producer | style=""text-align: center;"" | {{cite web |last1=Wiseman |first1=Andreas |title=Anton Launches Jessica Chastain-Anne Hathaway Thriller",2024
Anne Hathaway,The Idea of You,2024
Anne Hathaway,Mother Mary,2026
Anne Hathaway,The Devil Wears Prada 2,2026
Anne Hathaway,The Odyssey,2026
Anne Hathaway,Alone at Dawn,2050
Anthony Hopkins,The White Bus,1967
Anthony Hopkins,The Lion in Winter (1968 film),1968
Anthony Hopkins,Hamlet,1969
Anthony Hopkins,The Looking Glass War (film),1970
Anthony Hopkins,When Eight Bells Toll,1971
Anthony Hopkins,Young Winston,1972
Anthony Hopkins,Rotten Tomatoes,1973
Anthony Hopkins,The Girl from Petrovka,1974
Anthony Hopkins,A Bridge Too Far (film),1977
Anthony Hopkins,International Velvet,1978
Anthony Hopkins,Magic,1978
Anthony Hopkins,A Change of Seasons (film),1980
Anthony Hopkins,The Elephant Man (1980 film),1980
Anthony Hopkins,The Good Father,1985
Anthony Hopkins,84 Charing Cross Road,1987
Anthony Hopkins,The Dawning,1988
Anthony Hopkins,A Chorus of Disapproval (film),1989
Anthony Hopkins,Desperate Hours,1990
Anthony Hopkins,Dylan Thomas: Return Journey,1990
Anthony Hopkins,The Silence of the Lambs (film),1991
Anthony Hopkins,Bram Stoker's Dracula,1992
Anthony Hopkins,Chaplin,1992
Anthony Hopkins,Freejack,1992
Anthony Hopkins,Howards End,1992
Anthony Hopkins,Spotswood,1992
Anthony Hopkins,Shadowlands,1993
Anthony Hopkins,The Innocent (1993 film),1993
Anthony Hopkins,The Remains of the Day (film),1993
Anthony Hopkins,The Trial (1993 film),1993
Anthony Hopkins,Legends of the Fall,1994
Anthony Hopkins,The Road to Wellville (film),1994
Anthony Hopkins,Nixon,1995
Anthony Hopkins,August,1996
Anthony Hopkins,Surviving Picasso,1996
Anthony Hopkins,Amistad,1997
Anthony Hopkins,The Edge (1997 film),1997
Anthony Hopkins,Meet Joe Black,1998
Anthony Hopkins,The Mask of Zorro,1998
Anthony Hopkins,Instinct,1999
Anthony Hopkins,Siegfried & Roy: The Magic Box,1999
Anthony Hopkins,Titus,1999
Anthony Hopkins,How the Grinch Stole Christmas,2000
Anthony Hopkins,Mission: Impossible 2,2000
Anthony Hopkins,Hannibal,2001
Anthony Hopkins,Hearts in Atlantis,2001
Anthony Hopkins,Bad Company,2002
Anthony Hopkins,Red Dragon,2002
Anthony Hopkins,The Human Stain (film),2003
Anthony Hopkins,Alexander,2004
Anthony Hopkins,Burt Munro,2005
Anthony Hopkins,Proof,2005
Anthony Hopkins,All the King's Men,2006
Anthony Hopkins,Bobby,2006
Anthony Hopkins,Beowulf,2007
Anthony Hopkins,Fracture,2007
Anthony Hopkins,Shortcut to Happiness,2007
Anthony Hopkins,Slipstream,2007
Anthony Hopkins,Immutable Dream of Snow Lion,2008
Anthony Hopkins,Where I Stand: The Hank Greenspun Story,2008
Anthony Hopkins,The City of Your Final Destination,2009
Anthony Hopkins,nolink=1,2010
Anthony Hopkins,The Wolfman (2010 film),2010
Anthony Hopkins,You Will Meet a Tall Dark Stranger,2010
Anthony Hopkins,The Rite (2011 film),2011
Anthony Hopkins,Thor,2011
Anthony Hopkins,Hitchcock,2012
Anthony Hopkins,Red 2,2013
Anthony Hopkins,Thor: The Dark World,2013
Anthony Hopkins,Noah,2014
Anthony Hopkins,Blackway,2015
Anthony Hopkins,Kidnapping Freddy Heineken,2015
Anthony Hopkins,Solace,2015
Anthony Hopkins,Collide,2016
Anthony Hopkins,Misconduct,2016
Anthony Hopkins,Thor: Ragnarok,2017
Anthony Hopkins,Transformers: The Last Knight,2017
Anthony Hopkins,The Two Popes,2019
Anthony Hopkins,Where Are You,2019
Anthony Hopkins,Audrey Rose,2020
Anthony Hopkins,Elyse,2020
Anthony Hopkins,Juggernaut,2020
Anthony Hopkins,The Father (2020 film),2020
Anthony Hopkins,The Virtuoso]],2021
Anthony Hopkins,Zero Contact,2021
Anthony Hopkins,Armageddon Time,2022
Anthony Hopkins,Rebel Moon – Part One: A Child of Fire,2022
Anthony Hopkins,The Son]],2022
Anthony Hopkins,Freud's Last Session,2023
Anthony Hopkins,One Life,2023
Anthony Hopkins,Mary,2024
Anthony Hopkins,Rebel Moon – Part Two: The Scargiver,2024
Anthony Hopkins,Locked,2025
Anthony Hopkins,Wife & Dog,2026
Anthony Hopkins,Eyes in the Trees,2050
Anthony Hopkins,Maserati: The Brothers,2050
Anthony Hopkins,The Housekeeper,2050
Anya Taylor-Joy,Vampire Academy,2014
Anya Taylor-Joy,The Witch,2015
Anya Taylor-Joy,Barry,2016
Anya Taylor-Joy,Morgan,2016
Anya Taylor-Joy,Split,2016
Anya Taylor-Joy,Marrowbone,2017
Anya Taylor-Joy,Thoroughbreds,2017
Anya Taylor-Joy,Crossmaglen,2018
Anya Taylor-Joy,Glass,2019
Anya Taylor-Joy,"Love, Antosha",2019
Anya Taylor-Joy,Playmobil: The Movie,2019
Anya Taylor-Joy,Radioactive,2019
Anya Taylor-Joy,Emma,2020
Anya Taylor-Joy,Here Are the Young Men,2020
Anya Taylor-Joy,The New Mutants,2020
Anya Taylor-Joy,Last Night in Soho,2021
Anya Taylor-Joy,Amsterdam,2022
Anya Taylor-Joy,The Menu,2022
Anya Taylor-Joy,The Northman,2022
Anya Taylor-Joy,The Super Mario Bros. Movie,2023
Anya Taylor-Joy,Dune: Part Two,2024
Anya Taylor-Joy,Furiosa: A Mad Max Saga,2024
Anya Taylor-Joy,Sacrifice,2025
Anya Taylor-Joy,The Gorge,2025
Anya Taylor-Joy,Dune: Part Three,2026
Anya Taylor-Joy,The Super Mario Galaxy Movie,2026
Arnold Schwarzenegger,Hercules in New York,1970
Arnold Schwarzenegger,The Long Goodbye,1973
Arnold Schwarzenegger,Stay Hungry,1976
Arnold Schwarzenegger,Pumping Iron,1977
Arnold Schwarzenegger,Scavenger Hunt,1979
Arnold Schwarzenegger,The Villain,1979
Arnold Schwarzenegger,Conan the Barbarian,1982
Arnold Schwarzenegger,Conan the Destroyer,1984
Arnold Schwarzenegger,The Terminator,1984
Arnold Schwarzenegger,Commando,1985
Arnold Schwarzenegger,Red Sonja,1985
Arnold Schwarzenegger,Raw Deal,1986
Arnold Schwarzenegger,Predator,1987
Arnold Schwarzenegger,The Running Man,1987
Arnold Schwarzenegger,Red Heat,1988
Arnold Schwarzenegger,Twins,1988
Arnold Schwarzenegger,Kindergarten Cop,1990
Arnold Schwarzenegger,Total Recall,1990
Arnold Schwarzenegger,Terminator 2: Judgment Day,1991
Arnold Schwarzenegger,Dave,1993
Arnold Schwarzenegger,Last Action Hero,1993
Arnold Schwarzenegger,Junior,1994
Arnold Schwarzenegger,True Lies,1994
Arnold Schwarzenegger,Eraser,1996
Arnold Schwarzenegger,Jingle All the Way,1996
Arnold Schwarzenegger,T2-3D: Battle Across Time,1996
