actor,resolved_from
George Clooney,George Clooney
Ben Affleck,Ben Affleck
Chris Evans,Chris Evans
Dwayne Johnson,Dwayne Johnson
Matthew McConaughey,Matthew McConaughey
Christian Bale,Christian Bale
Joaquin Phoenix,Joaquin Phoenix
Anthony Hopkins,Anthony Hopkins
Idris Elba,Idris Elba
Timothee Chalamet,Timothee Chalamet
Cate Blanchett,Cate Blanchett
Charlize Theron,Charlize Theron
Reese Witherspoon,Reese Witherspoon
Emma Stone,Emma Stone
Natalie Portman,Natalie Portman
Penelope Cruz,Pen?lope Cruz
Amy Adams,Amy Adams
Sigourney Weaver,Sigourney Weaver
Jodie Foster,Jodie Foster
Kathy Bates,Kathy Bates
Zoe Saldana,Zoe Saldana
Gal Gadot,Gal Gadot
Anya Taylor-Joy,Anya Taylor-Joy
Jessica Chastain,Jessica Chastain
Lupita Nyong'o,Lupita Nyong'o
